date,asset,horizon,tft_pred,lgb_pred,xgb_pred,ridge_pred,rf_pred,ensemble_pred,ensemble_direction,vote_count,n_models,confidence,confidence_level
2026-02-02 00:00:00,BTC-USD,long,0.0528718158602714,0.1069326840855455,-0.0035352045670151,0.0015847645699977,0.0591978399256981,0.045329205651954765,LONG,4,5,0.8,HIGH
2026-02-10 00:00:00,BTC-USD,medium,0.0194970723241567,-0.0381838211613276,-0.0079010473564267,0.0344100967049598,0.0043797809383107,-0.0007191251388953637,FLAT,2,5,0.4,LOW
2026-02-24 21:00:00,BTC-USD,short,0.0005311779677867,0.0009458315470657,0.000516896485351,-0.000779444235377,0.0002729284949867,0.00029363073475910086,LONG,4,5,0.8,HIGH
2026-02-02 00:00:00,GC=F,long,0.0057179685682058,-0.0114698014128942,-0.0085392948240041,-0.0803730115294456,0.0047980391445992,-0.014504214691834627,FLAT,3,5,0.6,MED
2026-02-10 00:00:00,GC=F,medium,-0.0128459185361862,0.0182030480722801,0.0131956860423088,0.0140252113342285,0.016547358927396,0.009909363344507049,LONG,4,5,0.8,HIGH
2026-02-24 21:00:00,GC=F,short,0.0008715838193893,0.0036553178372674,0.002706816419959,0.0013009852264076,0.0010795195698966,0.001919301699986627,LONG,5,5,1.0,HIGH
2026-02-02 00:00:00,QQQ,long,0.0059545561671257,0.0465858133619981,0.0448638573288917,-0.0038675130344927,0.0141067219721281,0.0228369254993428,LONG,4,5,0.8,HIGH
2026-02-10 00:00:00,QQQ,medium,-0.0187637582421302,-0.0044650070754325,-0.0109713608399033,0.0014674952253699,-0.0046547386801186,-0.007861486777254553,FLAT,4,5,0.8,HIGH
2026-02-24 21:00:00,QQQ,short,0.0021638870239257,0.0006216660093407,0.0006981379119679,0.0036176270805299,0.0008030967899095,0.0015686373570538482,LONG,5,5,1.0,HIGH
2026-02-02 00:00:00,SPY,long,0.0094804093241691,0.0145085891835322,-0.0005934067303314,0.0219793263822793,0.0068052802831564,0.009899786047680381,LONG,4,5,0.8,HIGH
2026-02-10 00:00:00,SPY,medium,-0.0088000483810901,-0.0046471731460017,0.0043249269947409,0.0226991400122642,-0.0148465202597459,-0.0019338864395255886,FLAT,3,5,0.6,MED
2026-02-24 21:00:00,SPY,short,-0.0009538680315017,0.0005351957443473,0.0007243917207233,0.0024631121195852,0.0005555423944858,0.0006547541435474654,LONG,4,5,0.8,HIGH
